bucket,polity_id,name,km,lon,lat
-800,territory:Greek City-States:-800,Greek City-States,14.2,25.7058,34.8736
-800,territory:Greek City-States:-800,Greek City-States,11.1,26.1363,34.9346
-800,territory:Greek City-States:-800,Greek City-States,9.8,25.2147,35.4461
-800,territory:Greek City-States:-750,Greek City-States,4.5,22.9586,36.4866
-800,territory:Greek City-States:-800,Greek City-States,9.0,28.1257,36.5989
-800,territory:Greek City-States:-800,Greek City-States,1.6,27.1401,36.9429
-800,territory:Greek City-States:-800,Greek City-States,8.3,27.0912,37.0593
-800,territory:Greek City-States:-800,Greek City-States,12.1,21.5492,37.0489
-800,territory:Greek City-States:-800,Greek City-States,17.9,27.0892,37.2864
-800,territory:Greek City-States:-800,Greek City-States,28.8,26.757,37.3005
-800,territory:Greek City-States:-800,Greek City-States,5.3,26.7337,37.387
-800,territory:Greek City-States:-800,Greek City-States,17.3,26.9735,37.4605
-800,territory:Greek City-States:-750,Greek City-States,26.6,23.9273,37.4756
-800,territory:Greek City-States:-800,Greek City-States,17.5,27.1646,37.5786
-800,territory:Greek City-States:-800,Greek City-States,29.5,26.4286,37.5831
-800,territory:Greek City-States:-800,Greek City-States,4.9,26.5115,37.5906
-800,territory:Greek City-States:-750,Greek City-States,14.3,23.948,37.6486
-800,territory:Greek City-States:-750,Greek City-States,7.9,24.1228,37.7016
-800,territory:Greek City-States:-800,Greek City-States,10.8,23.7592,37.769
-800,territory:Greek City-States:-800,Greek City-States,21.0,24.2583,38.0038
-800,territory:Greek City-States:-800,Greek City-States,11.3,26.3417,38.4391
-800,territory:Greek City-States:-800,Greek City-States,5.0,26.2841,38.5035
-800,territory:Greek City-States:-800,Greek City-States,0.2,26.2288,38.5215
-800,territory:Greek City-States:-800,Greek City-States,31.0,26.7121,38.5036
-800,territory:Greek City-States:-800,Greek City-States,26.9,25.5105,38.541
-800,territory:Greek City-States:-750,Greek City-States,2.1,24.358,38.8379
-800,territory:Greek City-States:-750,Greek City-States,22.2,24.1084,39.0785
-800,territory:Greek City-States:-750,Greek City-States,38.7,20.2293,39.1444
-800,territory:Greek City-States:-750,Greek City-States,27.6,24.322,39.3498
-800,territory:Greek City-States:-750,Greek City-States,13.2,24.1686,39.3946
-800,territory:Greek City-States:-750,Greek City-States,12.1,23.9066,40.3248
-800,territory:Etruscans:-750,Etruscans,34.2,12.9551,40.9106
-800,territory:Etruscans:-750,Etruscans,7.9,12.8559,40.9364
-800,territory:Etruscans:-750,Etruscans,6.3,13.0567,40.9706
-800,territory:Etruscans:-750,Etruscans,20.1,11.0983,42.2489
-800,territory:Etruscans:-750,Etruscans,37.4,9.9059,43.4392
-800,territory:Greek City-States:-800,Greek City-States,8.5,23.5052,37.3388
-800,territory:Greek City-States:-800,Greek City-States,15.1,23.4882,37.7302
-800,territory:Greek City-States:-800,Greek City-States,2.7,23.4951,37.9585
-800,territory:Greek City-States:-800,Greek City-States,30.6,23.6983,39.1437
-800,territory:Greek City-States:-800,Greek City-States,30.9,27.3668,36.4102
-800,territory:Greek City-States:-800,Greek City-States,15.3,27.8188,36.5828
-800,territory:Greek City-States:-800,Greek City-States,21.5,25.3195,36.7477
-800,territory:Greek City-States:-800,Greek City-States,6.4,26.9874,36.9875
-800,territory:Greek City-States:-800,Greek City-States,10.2,25.2035,37.0798
-800,territory:Greek City-States:-750,Greek City-States,34.3,24.4875,37.1635
-800,territory:Greek City-States:-750,Greek City-States,15.5,24.4201,37.3575
-800,territory:Greek City-States:-750,Greek City-States,15.0,24.9137,37.4057
-800,territory:Greek City-States:-750,Greek City-States,10.8,25.3748,37.444
-800,territory:Greek City-States:-800,Greek City-States,21.4,26.1547,37.602
-800,territory:Greek City-States:-800,Greek City-States,25.0,26.8127,37.734
-700,territory:Sabaeans:-675,Sabaeans,30.8,42.4068,15.7254
-700,territory:Median Kingdom:-615,메디아 왕국,25.9,55.3051,26.269
-700,territory:Greek City-States:-615,Greek City-States,14.2,25.7058,34.8736
-700,territory:Greek City-States:-615,Greek City-States,11.1,26.1363,34.9346
-700,territory:Greek City-States:-615,Greek City-States,9.8,25.2147,35.4461
-700,territory:Phoenicia:-615,Phoenicia,17.4,-5.4186,35.9126
-700,territory:Greek City-States:-650,Greek City-States,5.9,33.7804,36.1762
-700,territory:Greek City-States:-615,Greek City-States,29.4,29.8792,36.1835
-700,territory:Greek City-States:-615,Greek City-States,35.6,29.4464,36.2168
-700,territory:Greek City-States:-615,Greek City-States,4.5,22.9586,36.4866
-700,territory:Greek City-States:-675,Greek City-States,7.5,28.1257,36.5989
-700,territory:Lydia:-615,Lydia,2.0,28.9183,36.6684
-700,territory:Greek City-States:-615,Greek City-States,1.6,27.1401,36.9429
-700,territory:Greek City-States:-700,Greek City-States,18.7,27.4647,36.9758
-700,territory:Greek City-States:-615,Greek City-States,9.3,27.0912,37.0593
-700,territory:Greek City-States:-675,Greek City-States,12.1,21.5492,37.0489
-700,territory:Greek City-States:-700,Greek City-States,13.2,27.0892,37.2864
-700,territory:Greek City-States:-700,Greek City-States,28.8,26.757,37.3005
-700,territory:Greek City-States:-700,Greek City-States,5.3,26.7337,37.387
-700,territory:Greek City-States:-700,Greek City-States,17.3,26.9735,37.4605
-700,territory:Greek City-States:-615,Greek City-States,26.6,23.9273,37.4756
-700,territory:Greek City-States:-700,Greek City-States,0.2,27.1646,37.5786
-700,territory:Greek City-States:-615,Greek City-States,9.9,26.4286,37.5831
-700,territory:Greek City-States:-615,Greek City-States,4.9,26.5115,37.5906
-700,territory:Greek City-States:-615,Greek City-States,14.3,23.948,37.6486
-700,territory:Greek City-States:-615,Greek City-States,7.9,24.1228,37.7016
-700,territory:Greek City-States:-615,Greek City-States,10.8,23.7592,37.769
-700,territory:Greek City-States:-675,Greek City-States,21.0,24.2583,38.0038
-700,territory:Greek City-States:-650,Greek City-States,4.0,26.3417,38.4391
-700,territory:Greek City-States:-615,Greek City-States,5.0,26.2841,38.5035
-700,territory:Greek City-States:-615,Greek City-States,0.2,26.2288,38.5215
-700,territory:Greek City-States:-675,Greek City-States,11.4,26.7121,38.5036
-700,territory:Greek City-States:-615,Greek City-States,26.9,25.5105,38.541
-700,territory:Greek City-States:-615,Greek City-States,2.1,24.358,38.8379
-700,territory:Greek City-States:-615,Greek City-States,22.2,24.1084,39.0785
-700,territory:Greek City-States:-675,Greek City-States,38.7,20.2293,39.1444
-700,territory:Greek City-States:-615,Greek City-States,27.6,24.322,39.3498
-700,territory:Greek City-States:-615,Greek City-States,13.2,24.1686,39.3946
-700,territory:Greek City-States:-615,Greek City-States,18.9,19.5232,39.7704
-700,territory:Greek City-States:-615,Greek City-States,11.3,19.3991,39.85
